id,transaction_type,transaction_date,account,vehicle_id,customer_id,amount,description
1,revenue,2025-08-28,Revenue - Transport Services,1,1,101381.69,Revenue 2025-08 | BUS-101 | ABC Logistics Pvt Ltd
16,revenue,2025-08-28,Revenue - Transport Services,1,8,19461.96,Revenue 2025-08 | BUS-101 | STU Exports Ltd
17,revenue,2025-10-28,Revenue - Transport Services,1,1,353326.32,Revenue 2025-10 | BUS-101 | ABC Logistics Pvt Ltd
18,revenue,2025-10-28,Revenue - Transport Services,1,3,196372.47,Revenue 2025-10 | BUS-101 | DEF Industries
19,revenue,2025-10-28,Revenue - Transport Services,1,5,136450.62,Revenue 2025-10 | BUS-101 | JKL Pharma Ltd
20,revenue,2025-10-28,Revenue - Transport Services,1,4,173509.61,Revenue 2025-10 | BUS-101 | GHI Travels & Tours
21,revenue,2025-10-28,Revenue - Transport Services,1,6,264679.77,Revenue 2025-10 | BUS-101 | MNO Textiles
22,revenue,2025-10-28,Revenue - Transport Services,1,7,178089.41,Revenue 2025-10 | BUS-101 | PQR Infrastructure
23,revenue,2025-10-28,Revenue - Transport Services,1,8,286725.4,Revenue 2025-10 | BUS-101 | STU Exports Ltd
24,revenue,2025-10-28,Revenue - Transport Services,1,2,166722.65,Revenue 2025-10 | BUS-101 | XYZ Manufacturing Ltd
25,revenue,2025-11-28,Revenue - Transport Services,1,6,105978.09,Revenue 2025-11 | BUS-101 | MNO Textiles
26,revenue,2025-11-28,Revenue - Transport Services,1,8,411154.87,Revenue 2025-11 | BUS-101 | STU Exports Ltd
27,revenue,2025-11-28,Revenue - Transport Services,1,2,338566.86,Revenue 2025-11 | BUS-101 | XYZ Manufacturing Ltd
28,revenue,2025-11-28,Revenue - Transport Services,1,3,257843.04,Revenue 2025-11 | BUS-101 | DEF Industries
29,revenue,2025-11-28,Revenue - Transport Services,1,7,139775.37,Revenue 2025-11 | BUS-101 | PQR Infrastructure
30,revenue,2025-11-28,Revenue - Transport Services,1,4,128092.67,Revenue 2025-11 | BUS-101 | GHI Travels & Tours
31,revenue,2025-11-28,Revenue - Transport Services,1,5,283893.2,Revenue 2025-11 | BUS-101 | JKL Pharma Ltd
32,revenue,2025-11-28,Revenue - Transport Services,1,1,155621.43,Revenue 2025-11 | BUS-101 | ABC Logistics Pvt Ltd
33,revenue,2025-12-28,Revenue - Transport Services,1,1,454495.54,Revenue 2025-12 | BUS-101 | ABC Logistics Pvt Ltd
34,revenue,2025-12-28,Revenue - Transport Services,1,5,61333.72,Revenue 2025-12 | BUS-101 | JKL Pharma Ltd
35,revenue,2025-12-28,Revenue - Transport Services,1,6,277782.33,Revenue 2025-12 | BUS-101 | MNO Textiles
36,revenue,2025-12-28,Revenue - Transport Services,1,8,272843.72,Revenue 2025-12 | BUS-101 | STU Exports Ltd
37,revenue,2025-12-28,Revenue - Transport Services,1,2,257894.29,Revenue 2025-12 | BUS-101 | XYZ Manufacturing Ltd
38,revenue,2025-12-28,Revenue - Transport Services,1,3,220136.55,Revenue 2025-12 | BUS-101 | DEF Industries
39,revenue,2025-12-28,Revenue - Transport Services,1,7,145316.88,Revenue 2025-12 | BUS-101 | PQR Infrastructure
40,revenue,2025-12-28,Revenue - Transport Services,1,4,83670.84,Revenue 2025-12 | BUS-101 | GHI Travels & Tours
41,revenue,2026-01-28,Revenue - Transport Services,1,6,234179.04,Revenue 2026-01 | BUS-101 | MNO Textiles
42,revenue,2026-01-28,Revenue - Transport Services,1,1,153966.48,Revenue 2026-01 | BUS-101 | ABC Logistics Pvt Ltd
43,revenue,2026-01-28,Revenue - Transport Services,1,5,167443.62,Revenue 2026-01 | BUS-101 | JKL Pharma Ltd
44,revenue,2026-01-28,Revenue - Transport Services,1,8,261137.6,Revenue 2026-01 | BUS-101 | STU Exports Ltd
45,revenue,2026-01-28,Revenue - Transport Services,1,2,243202.57,Revenue 2026-01 | BUS-101 | XYZ Manufacturing Ltd
46,revenue,2026-01-28,Revenue - Transport Services,1,3,372568.75,Revenue 2026-01 | BUS-101 | DEF Industries
47,revenue,2026-01-28,Revenue - Transport Services,1,7,319972.72,Revenue 2026-01 | BUS-101 | PQR Infrastructure
48,revenue,2026-02-28,Revenue - Transport Services,1,3,243851.07,Revenue 2026-02 | BUS-101 | DEF Industries
49,revenue,2026-02-28,Revenue - Transport Services,1,6,205367.94,Revenue 2026-02 | BUS-101 | MNO Textiles
50,revenue,2026-02-28,Revenue - Transport Services,1,7,116270.57,Revenue 2026-02 | BUS-101 | PQR Infrastructure
51,revenue,2026-02-28,Revenue - Transport Services,1,2,121277.89,Revenue 2026-02 | BUS-101 | XYZ Manufacturing Ltd
52,revenue,2026-02-28,Revenue - Transport Services,1,8,444106.73,Revenue 2026-02 | BUS-101 | STU Exports Ltd
53,revenue,2026-02-28,Revenue - Transport Services,1,5,227877.45,Revenue 2026-02 | BUS-101 | JKL Pharma Ltd
54,revenue,2026-01-28,Revenue - Transport Services,1,4,43089.76,Revenue 2026-01 | BUS-101 | GHI Travels & Tours
55,revenue,2026-02-28,Revenue - Transport Services,1,4,137650.37,Revenue 2026-02 | BUS-101 | GHI Travels & Tours
56,revenue,2026-02-28,Revenue - Transport Services,1,1,200745.38,Revenue 2026-02 | BUS-101 | ABC Logistics Pvt Ltd
57,revenue,2026-03-28,Revenue - Transport Services,1,8,87100.79,Revenue 2026-03 | BUS-101 | STU Exports Ltd
58,revenue,2026-03-28,Revenue - Transport Services,1,6,237180.8,Revenue 2026-03 | BUS-101 | MNO Textiles
59,revenue,2026-03-28,Revenue - Transport Services,1,2,307595.94,Revenue 2026-03 | BUS-101 | XYZ Manufacturing Ltd
60,revenue,2026-03-28,Revenue - Transport Services,1,4,188570.53,Revenue 2026-03 | BUS-101 | GHI Travels & Tours
61,revenue,2026-03-28,Revenue - Transport Services,1,1,247821.76,Revenue 2026-03 | BUS-101 | ABC Logistics Pvt Ltd
62,revenue,2026-03-28,Revenue - Transport Services,1,7,268479.09,Revenue 2026-03 | BUS-101 | PQR Infrastructure
63,revenue,2026-03-28,Revenue - Transport Services,1,3,252604.65,Revenue 2026-03 | BUS-101 | DEF Industries
64,revenue,2026-03-28,Revenue - Transport Services,1,5,190429.91,Revenue 2026-03 | BUS-101 | JKL Pharma Ltd
65,revenue,2026-04-28,Revenue - Transport Services,1,1,165244.85,Revenue 2026-04 | BUS-101 | ABC Logistics Pvt Ltd
66,revenue,2026-04-28,Revenue - Transport Services,1,6,202971.54,Revenue 2026-04 | BUS-101 | MNO Textiles
67,revenue,2026-04-28,Revenue - Transport Services,1,2,163400.21,Revenue 2026-04 | BUS-101 | XYZ Manufacturing Ltd
68,revenue,2026-04-28,Revenue - Transport Services,1,5,218425.56,Revenue 2026-04 | BUS-101 | JKL Pharma Ltd
69,revenue,2026-04-28,Revenue - Transport Services,1,8,425126.22,Revenue 2026-04 | BUS-101 | STU Exports Ltd
70,revenue,2026-04-28,Revenue - Transport Services,1,3,171957.69,Revenue 2026-04 | BUS-101 | DEF Industries
71,revenue,2026-04-28,Revenue - Transport Services,1,7,108531.99,Revenue 2026-04 | BUS-101 | PQR Infrastructure
72,revenue,2026-04-28,Revenue - Transport Services,1,4,184936.55,Revenue 2026-04 | BUS-101 | GHI Travels & Tours
73,revenue,2026-05-28,Revenue - Transport Services,1,8,275358.29,Revenue 2026-05 | BUS-101 | STU Exports Ltd
74,revenue,2026-05-28,Revenue - Transport Services,1,2,328883.83,Revenue 2026-05 | BUS-101 | XYZ Manufacturing Ltd
75,revenue,2026-05-28,Revenue - Transport Services,1,6,174794.25,Revenue 2026-05 | BUS-101 | MNO Textiles
76,revenue,2026-05-28,Revenue - Transport Services,1,1,252680.44,Revenue 2026-05 | BUS-101 | ABC Logistics Pvt Ltd
77,revenue,2026-05-28,Revenue - Transport Services,1,4,257819.78,Revenue 2026-05 | BUS-101 | GHI Travels & Tours
78,revenue,2026-05-28,Revenue - Transport Services,1,3,311806.2,Revenue 2026-05 | BUS-101 | DEF Industries
79,revenue,2026-05-28,Revenue - Transport Services,1,5,165082.84,Revenue 2026-05 | BUS-101 | JKL Pharma Ltd
80,revenue,2026-05-28,Revenue - Transport Services,1,7,171807.39,Revenue 2026-05 | BUS-101 | PQR Infrastructure
81,revenue,2026-06-28,Revenue - Transport Services,1,1,294411.76,Revenue 2026-06 | BUS-101 | ABC Logistics Pvt Ltd
82,revenue,2026-06-28,Revenue - Transport Services,1,7,163973.23,Revenue 2026-06 | BUS-101 | PQR Infrastructure
83,revenue,2026-06-28,Revenue - Transport Services,1,6,331507.22,Revenue 2026-06 | BUS-101 | MNO Textiles
84,revenue,2026-06-28,Revenue - Transport Services,1,2,250594.53,Revenue 2026-06 | BUS-101 | XYZ Manufacturing Ltd
85,revenue,2026-06-28,Revenue - Transport Services,1,5,148365.46,Revenue 2026-06 | BUS-101 | JKL Pharma Ltd
86,revenue,2026-06-28,Revenue - Transport Services,1,4,185986.27,Revenue 2026-06 | BUS-101 | GHI Travels & Tours
87,revenue,2026-06-28,Revenue - Transport Services,1,3,216064.22,Revenue 2026-06 | BUS-101 | DEF Industries
88,revenue,2026-07-28,Revenue - Transport Services,1,2,226257.67,Revenue 2026-07 | BUS-101 | XYZ Manufacturing Ltd
89,revenue,2026-07-28,Revenue - Transport Services,1,1,287168.38,Revenue 2026-07 | BUS-101 | ABC Logistics Pvt Ltd
90,revenue,2026-07-28,Revenue - Transport Services,1,7,201480.85,Revenue 2026-07 | BUS-101 | PQR Infrastructure
91,revenue,2026-07-28,Revenue - Transport Services,1,8,222527.55,Revenue 2026-07 | BUS-101 | STU Exports Ltd
92,revenue,2026-07-28,Revenue - Transport Services,1,5,122078.62,Revenue 2026-07 | BUS-101 | JKL Pharma Ltd
93,revenue,2026-07-28,Revenue - Transport Services,1,3,197626.53,Revenue 2026-07 | BUS-101 | DEF Industries
94,revenue,2026-07-28,Revenue - Transport Services,1,4,121998.94,Revenue 2026-07 | BUS-101 | GHI Travels & Tours
95,revenue,2026-07-28,Revenue - Transport Services,1,6,265232.2,Revenue 2026-07 | BUS-101 | MNO Textiles
96,revenue,2026-06-28,Revenue - Transport Services,1,8,19257.31,Revenue 2026-06 | BUS-101 | STU Exports Ltd
97,revenue,2026-08-28,Revenue - Transport Services,1,5,179663.19,Revenue 2026-08 | BUS-101 | JKL Pharma Ltd
98,revenue,2026-08-28,Revenue - Transport Services,1,1,199768.54,Revenue 2026-08 | BUS-101 | ABC Logistics Pvt Ltd
99,revenue,2026-08-28,Revenue - Transport Services,1,2,151280.04,Revenue 2026-08 | BUS-101 | XYZ Manufacturing Ltd
100,revenue,2026-08-28,Revenue - Transport Services,1,7,99248.7,Revenue 2026-08 | BUS-101 | PQR Infrastructure
101,revenue,2026-08-28,Revenue - Transport Services,1,6,74357.01,Revenue 2026-08 | BUS-101 | MNO Textiles
102,revenue,2026-08-28,Revenue - Transport Services,1,8,144517.56,Revenue 2026-08 | BUS-101 | STU Exports Ltd
103,revenue,2026-08-28,Revenue - Transport Services,1,4,176041.55,Revenue 2026-08 | BUS-101 | GHI Travels & Tours
104,revenue,2026-08-28,Revenue - Transport Services,1,3,74175.71,Revenue 2026-08 | BUS-101 | DEF Industries
105,revenue,2025-09-28,Revenue - Transport Services,2,2,217780.09,Revenue 2025-09 | BUS-102 | XYZ Manufacturing Ltd
106,revenue,2025-08-28,Revenue - Transport Services,2,7,26892.41,Revenue 2025-08 | BUS-102 | PQR Infrastructure
107,revenue,2025-08-28,Revenue - Transport Services,2,2,126943.8,Revenue 2025-08 | BUS-102 | XYZ Manufacturing Ltd
108,revenue,2025-09-28,Revenue - Transport Services,2,5,119263.28,Revenue 2025-09 | BUS-102 | JKL Pharma Ltd
109,revenue,2025-09-28,Revenue - Transport Services,2,3,149263.01,Revenue 2025-09 | BUS-102 | DEF Industries
110,revenue,2025-09-28,Revenue - Transport Services,2,1,95722.45,Revenue 2025-09 | BUS-102 | ABC Logistics Pvt Ltd
111,revenue,2025-08-28,Revenue - Transport Services,2,3,173688.87,Revenue 2025-08 | BUS-102 | DEF Industries
112,revenue,2025-08-28,Revenue - Transport Services,2,5,48196.14,Revenue 2025-08 | BUS-102 | JKL Pharma Ltd
113,revenue,2025-09-28,Revenue - Transport Services,2,6,209133.31,Revenue 2025-09 | BUS-102 | MNO Textiles
114,revenue,2025-08-28,Revenue - Transport Services,2,1,36471.62,Revenue 2025-08 | BUS-102 | ABC Logistics Pvt Ltd
115,revenue,2025-08-28,Revenue - Transport Services,2,6,17080.07,Revenue 2025-08 | BUS-102 | MNO Textiles
116,revenue,2025-09-28,Revenue - Transport Services,2,8,149534.08,Revenue 2025-09 | BUS-102 | STU Exports Ltd
117,revenue,2025-08-28,Revenue - Transport Services,2,8,63023.93,Revenue 2025-08 | BUS-102 | STU Exports Ltd
118,revenue,2025-09-28,Revenue - Transport Services,2,4,123141.81,Revenue 2025-09 | BUS-102 | GHI Travels & Tours
119,revenue,2025-10-28,Revenue - Transport Services,2,2,63602.48,Revenue 2025-10 | BUS-102 | XYZ Manufacturing Ltd
120,revenue,2025-10-28,Revenue - Transport Services,2,7,377010.78,Revenue 2025-10 | BUS-102 | PQR Infrastructure
121,revenue,2025-09-28,Revenue - Transport Services,2,7,82598.99,Revenue 2025-09 | BUS-102 | PQR Infrastructure
122,revenue,2025-10-28,Revenue - Transport Services,2,1,92689.52,Revenue 2025-10 | BUS-102 | ABC Logistics Pvt Ltd
123,revenue,2025-10-28,Revenue - Transport Services,2,3,89274.91,Revenue 2025-10 | BUS-102 | DEF Industries
124,revenue,2025-10-28,Revenue - Transport Services,2,5,113608.42,Revenue 2025-10 | BUS-102 | JKL Pharma Ltd
125,revenue,2025-10-28,Revenue - Transport Services,2,4,170141.64,Revenue 2025-10 | BUS-102 | GHI Travels & Tours
126,revenue,2025-10-28,Revenue - Transport Services,2,8,140809.89,Revenue 2025-10 | BUS-102 | STU Exports Ltd
127,revenue,2025-10-28,Revenue - Transport Services,2,6,106205.92,Revenue 2025-10 | BUS-102 | MNO Textiles
128,revenue,2025-11-28,Revenue - Transport Services,2,7,49354.47,Revenue 2025-11 | BUS-102 | PQR Infrastructure
129,revenue,2025-11-28,Revenue - Transport Services,2,5,205656.81,Revenue 2025-11 | BUS-102 | JKL Pharma Ltd
130,revenue,2025-11-28,Revenue - Transport Services,2,1,212533.94,Revenue 2025-11 | BUS-102 | ABC Logistics Pvt Ltd
131,revenue,2025-11-28,Revenue - Transport Services,2,3,125313.78,Revenue 2025-11 | BUS-102 | DEF Industries
132,revenue,2025-11-28,Revenue - Transport Services,2,6,131972.09,Revenue 2025-11 | BUS-102 | MNO Textiles
133,revenue,2025-11-28,Revenue - Transport Services,2,8,152579.13,Revenue 2025-11 | BUS-102 | STU Exports Ltd
134,revenue,2025-11-28,Revenue - Transport Services,2,2,97716.92,Revenue 2025-11 | BUS-102 | XYZ Manufacturing Ltd
135,revenue,2025-11-28,Revenue - Transport Services,2,4,265966.93,Revenue 2025-11 | BUS-102 | GHI Travels & Tours
136,revenue,2025-12-28,Revenue - Transport Services,2,2,95726.96,Revenue 2025-12 | BUS-102 | XYZ Manufacturing Ltd
137,revenue,2025-12-28,Revenue - Transport Services,2,4,221519.11,Revenue 2025-12 | BUS-102 | GHI Travels & Tours
138,revenue,2025-12-28,Revenue - Transport Services,2,8,201487.16,Revenue 2025-12 | BUS-102 | STU Exports Ltd
139,revenue,2025-12-28,Revenue - Transport Services,2,1,226405.22,Revenue 2025-12 | BUS-102 | ABC Logistics Pvt Ltd
140,revenue,2025-12-28,Revenue - Transport Services,2,6,138430.64,Revenue 2025-12 | BUS-102 | MNO Textiles
141,revenue,2025-12-28,Revenue - Transport Services,2,3,226970.1,Revenue 2025-12 | BUS-102 | DEF Industries
142,revenue,2025-12-28,Revenue - Transport Services,2,5,71942.49,Revenue 2025-12 | BUS-102 | JKL Pharma Ltd
143,revenue,2026-01-28,Revenue - Transport Services,2,3,272602.36,Revenue 2026-01 | BUS-102 | DEF Industries
144,revenue,2026-01-28,Revenue - Transport Services,2,5,80969.93,Revenue 2026-01 | BUS-102 | JKL Pharma Ltd
145,revenue,2026-01-28,Revenue - Transport Services,2,7,129236.91,Revenue 2026-01 | BUS-102 | PQR Infrastructure
146,revenue,2026-01-28,Revenue - Transport Services,2,2,121990.44,Revenue 2026-01 | BUS-102 | XYZ Manufacturing Ltd
147,revenue,2026-01-28,Revenue - Transport Services,2,8,157250.37,Revenue 2026-01 | BUS-102 | STU Exports Ltd
148,revenue,2025-12-28,Revenue - Transport Services,2,7,27278.12,Revenue 2025-12 | BUS-102 | PQR Infrastructure
149,revenue,2026-01-28,Revenue - Transport Services,2,1,128724.08,Revenue 2026-01 | BUS-102 | ABC Logistics Pvt Ltd
150,revenue,2026-01-28,Revenue - Transport Services,2,4,213996.88,Revenue 2026-01 | BUS-102 | GHI Travels & Tours
151,revenue,2026-01-28,Revenue - Transport Services,2,6,120950.47,Revenue 2026-01 | BUS-102 | MNO Textiles
152,revenue,2026-02-28,Revenue - Transport Services,2,8,121161.94,Revenue 2026-02 | BUS-102 | STU Exports Ltd
153,revenue,2026-02-28,Revenue - Transport Services,2,1,146489.19,Revenue 2026-02 | BUS-102 | ABC Logistics Pvt Ltd
154,revenue,2026-02-28,Revenue - Transport Services,2,7,198554.13,Revenue 2026-02 | BUS-102 | PQR Infrastructure
155,revenue,2026-02-28,Revenue - Transport Services,2,2,147108.09,Revenue 2026-02 | BUS-102 | XYZ Manufacturing Ltd
156,revenue,2026-02-28,Revenue - Transport Services,2,6,149040.29,Revenue 2026-02 | BUS-102 | MNO Textiles
157,revenue,2026-02-28,Revenue - Transport Services,2,3,144380.7,Revenue 2026-02 | BUS-102 | DEF Industries
158,revenue,2026-02-28,Revenue - Transport Services,2,4,163402.86,Revenue 2026-02 | BUS-102 | GHI Travels & Tours
159,revenue,2026-03-28,Revenue - Transport Services,2,2,195090.62,Revenue 2026-03 | BUS-102 | XYZ Manufacturing Ltd
160,revenue,2026-02-28,Revenue - Transport Services,2,5,61733.12,Revenue 2026-02 | BUS-102 | JKL Pharma Ltd
161,revenue,2026-03-28,Revenue - Transport Services,2,8,277572.31,Revenue 2026-03 | BUS-102 | STU Exports Ltd
162,revenue,2026-03-28,Revenue - Transport Services,2,1,207218.05,Revenue 2026-03 | BUS-102 | ABC Logistics Pvt Ltd
163,revenue,2026-03-28,Revenue - Transport Services,2,5,112493.22,Revenue 2026-03 | BUS-102 | JKL Pharma Ltd
164,revenue,2026-03-28,Revenue - Transport Services,2,3,169030.19,Revenue 2026-03 | BUS-102 | DEF Industries
165,revenue,2026-03-28,Revenue - Transport Services,2,7,84220.36,Revenue 2026-03 | BUS-102 | PQR Infrastructure
166,revenue,2026-03-28,Revenue - Transport Services,2,6,74759.78,Revenue 2026-03 | BUS-102 | MNO Textiles
167,revenue,2026-03-28,Revenue - Transport Services,2,4,215439.54,Revenue 2026-03 | BUS-102 | GHI Travels & Tours
168,revenue,2026-04-28,Revenue - Transport Services,2,2,152454.21,Revenue 2026-04 | BUS-102 | XYZ Manufacturing Ltd
169,revenue,2026-04-28,Revenue - Transport Services,2,6,182858.61,Revenue 2026-04 | BUS-102 | MNO Textiles
170,revenue,2026-04-28,Revenue - Transport Services,2,3,230696.63,Revenue 2026-04 | BUS-102 | DEF Industries
171,revenue,2026-04-28,Revenue - Transport Services,2,7,107346.66,Revenue 2026-04 | BUS-102 | PQR Infrastructure
172,revenue,2026-04-28,Revenue - Transport Services,2,5,94238.56,Revenue 2026-04 | BUS-102 | JKL Pharma Ltd
173,revenue,2026-04-28,Revenue - Transport Services,2,4,229159.29,Revenue 2026-04 | BUS-102 | GHI Travels & Tours
174,revenue,2026-04-28,Revenue - Transport Services,2,8,76070.17,Revenue 2026-04 | BUS-102 | STU Exports Ltd
175,revenue,2026-05-28,Revenue - Transport Services,2,1,332001.77,Revenue 2026-05 | BUS-102 | ABC Logistics Pvt Ltd
176,revenue,2026-05-28,Revenue - Transport Services,2,7,243932.52,Revenue 2026-05 | BUS-102 | PQR Infrastructure
177,revenue,2026-05-28,Revenue - Transport Services,2,6,93429.37,Revenue 2026-05 | BUS-102 | MNO Textiles
178,revenue,2026-05-28,Revenue - Transport Services,2,8,284520.52,Revenue 2026-05 | BUS-102 | STU Exports Ltd
179,revenue,2026-05-28,Revenue - Transport Services,2,3,220576.62,Revenue 2026-05 | BUS-102 | DEF Industries
180,revenue,2026-05-28,Revenue - Transport Services,2,2,128243.85,Revenue 2026-05 | BUS-102 | XYZ Manufacturing Ltd
181,revenue,2026-05-28,Revenue - Transport Services,2,5,126747.15,Revenue 2026-05 | BUS-102 | JKL Pharma Ltd
182,revenue,2026-04-28,Revenue - Transport Services,2,1,18847.64,Revenue 2026-04 | BUS-102 | ABC Logistics Pvt Ltd
183,revenue,2026-06-28,Revenue - Transport Services,2,2,94222.72,Revenue 2026-06 | BUS-102 | XYZ Manufacturing Ltd
184,revenue,2026-06-28,Revenue - Transport Services,2,6,258599.27,Revenue 2026-06 | BUS-102 | MNO Textiles
185,revenue,2026-06-28,Revenue - Transport Services,2,8,240417.65,Revenue 2026-06 | BUS-102 | STU Exports Ltd
186,revenue,2026-06-28,Revenue - Transport Services,2,7,126425.1,Revenue 2026-06 | BUS-102 | PQR Infrastructure
187,revenue,2026-06-28,Revenue - Transport Services,2,1,15865.78,Revenue 2026-06 | BUS-102 | ABC Logistics Pvt Ltd
188,revenue,2026-06-28,Revenue - Transport Services,2,4,102210.4,Revenue 2026-06 | BUS-102 | GHI Travels & Tours
189,revenue,2026-06-28,Revenue - Transport Services,2,3,124606.07,Revenue 2026-06 | BUS-102 | DEF Industries
190,revenue,2026-06-28,Revenue - Transport Services,2,5,114983.81,Revenue 2026-06 | BUS-102 | JKL Pharma Ltd
191,revenue,2026-07-28,Revenue - Transport Services,2,7,211601.14,Revenue 2026-07 | BUS-102 | PQR Infrastructure
192,revenue,2026-07-28,Revenue - Transport Services,2,5,145981.75,Revenue 2026-07 | BUS-102 | JKL Pharma Ltd
193,revenue,2026-07-28,Revenue - Transport Services,2,1,205773.2,Revenue 2026-07 | BUS-102 | ABC Logistics Pvt Ltd
194,revenue,2026-07-28,Revenue - Transport Services,2,4,156817.42,Revenue 2026-07 | BUS-102 | GHI Travels & Tours
195,revenue,2026-07-28,Revenue - Transport Services,2,6,195458.3,Revenue 2026-07 | BUS-102 | MNO Textiles
196,revenue,2026-07-28,Revenue - Transport Services,2,3,113139.54,Revenue 2026-07 | BUS-102 | DEF Industries
197,revenue,2026-07-28,Revenue - Transport Services,2,2,63894.91,Revenue 2026-07 | BUS-102 | XYZ Manufacturing Ltd
198,revenue,2026-07-28,Revenue - Transport Services,2,8,101906.98,Revenue 2026-07 | BUS-102 | STU Exports Ltd
199,revenue,2026-08-28,Revenue - Transport Services,2,4,82963.08,Revenue 2026-08 | BUS-102 | GHI Travels & Tours
200,revenue,2026-08-28,Revenue - Transport Services,2,7,15135.6,Revenue 2026-08 | BUS-102 | PQR Infrastructure
201,revenue,2026-08-28,Revenue - Transport Services,2,2,94594.61,Revenue 2026-08 | BUS-102 | XYZ Manufacturing Ltd
202,revenue,2026-08-28,Revenue - Transport Services,2,8,124260.3,Revenue 2026-08 | BUS-102 | STU Exports Ltd
203,revenue,2026-08-28,Revenue - Transport Services,2,3,141442.4,Revenue 2026-08 | BUS-102 | DEF Industries
204,revenue,2026-08-28,Revenue - Transport Services,2,5,50119.84,Revenue 2026-08 | BUS-102 | JKL Pharma Ltd
205,revenue,2026-08-28,Revenue - Transport Services,2,6,111540.88,Revenue 2026-08 | BUS-102 | MNO Textiles
206,revenue,2026-08-28,Revenue - Transport Services,2,1,17941.92,Revenue 2026-08 | BUS-102 | ABC Logistics Pvt Ltd
207,revenue,2025-09-28,Revenue - Transport Services,3,2,322147.49,Revenue 2025-09 | BUS-103 | XYZ Manufacturing Ltd
208,revenue,2025-09-28,Revenue - Transport Services,3,8,276863.78,Revenue 2025-09 | BUS-103 | STU Exports Ltd
209,revenue,2025-09-28,Revenue - Transport Services,3,3,251466.13,Revenue 2025-09 | BUS-103 | DEF Industries
210,revenue,2025-08-28,Revenue - Transport Services,3,4,24771.47,Revenue 2025-08 | BUS-103 | GHI Travels & Tours
211,revenue,2025-09-28,Revenue - Transport Services,3,6,253231.1,Revenue 2025-09 | BUS-103 | MNO Textiles
212,revenue,2025-08-28,Revenue - Transport Services,3,1,65218.13,Revenue 2025-08 | BUS-103 | ABC Logistics Pvt Ltd
213,revenue,2025-08-28,Revenue - Transport Services,3,2,40104.19,Revenue 2025-08 | BUS-103 | XYZ Manufacturing Ltd
214,revenue,2025-09-28,Revenue - Transport Services,3,1,427700.67,Revenue 2025-09 | BUS-103 | ABC Logistics Pvt Ltd
215,revenue,2025-09-28,Revenue - Transport Services,3,7,373063.08,Revenue 2025-09 | BUS-103 | PQR Infrastructure
216,revenue,2025-08-28,Revenue - Transport Services,3,8,241060.47,Revenue 2025-08 | BUS-103 | STU Exports Ltd
217,revenue,2025-09-28,Revenue - Transport Services,3,4,325621.86,Revenue 2025-09 | BUS-103 | GHI Travels & Tours
218,revenue,2025-08-28,Revenue - Transport Services,3,7,264687.42,Revenue 2025-08 | BUS-103 | PQR Infrastructure
219,revenue,2025-08-28,Revenue - Transport Services,3,6,80459.19,Revenue 2025-08 | BUS-103 | MNO Textiles
220,revenue,2025-08-28,Revenue - Transport Services,3,5,20386.07,Revenue 2025-08 | BUS-103 | JKL Pharma Ltd
221,revenue,2025-08-28,Revenue - Transport Services,3,3,63310.85,Revenue 2025-08 | BUS-103 | DEF Industries
222,revenue,2025-09-28,Revenue - Transport Services,3,5,212478.08,Revenue 2025-09 | BUS-103 | JKL Pharma Ltd
223,revenue,2025-10-28,Revenue - Transport Services,3,7,305107.09,Revenue 2025-10 | BUS-103 | PQR Infrastructure
